"bsv"	"context"	"full_expression"	"no_match"	"match_with_fcu"	"context"	"location"	"features"
"BSV_RA_2013_MARAICH_07_cle07818c"	"URES DE PLEIN CHAMP"	"Ail, salade"	"Ail, salade"	"Ail ( ail ) =http://ontology.inrae.fr/frenchcropusage/Ails, salade ( salade ) =http://ontology.inrae.fr/frenchcropusage/Salades"	"...... . . .. ... ."	"693-704"	"type=N_PUN_N, match=fcu, form=Ail, salade"
"BSV_RA_2013_MARAICH_07_cle07818c"	"...... . . .. ... ."	"Carotte, céleri"	"Carotte, céleri"	"Carotte ( carotte ) =http://ontology.inrae.fr/frenchcropusage/Carottes, céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris"	", ... Chou, navet, r"	"725-740"	"type=N_PUN_N, match=fcu, form=Carotte, céleri"
"BSV_RA_2013_MARAICH_07_cle07818c"	"arotte, céleri, ..."	"Chou, navet, radis, épinard, pomme de terre"	"Chou, navet, radis, épinard, pomme de terre"	"Chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, Chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux, navet ( navet potager ) =http://ontology.inrae.fr/frenchcropusage/Navets_potagers, radis ( radis ) =http://ontology.inrae.fr/frenchcropusage/Radis, épinard ( épinard ) =http://ontology.inrae.fr/frenchcropusage/Epinards, pomme de terre ( pomme de terre ) =http://ontology.inrae.fr/frenchcropusage/Pommes_de_terre, pomme ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers"	".. ... .. Poireau,"	"746-789"	"type=N_PUN_N, match=fcu, form=Chou, navet, radis, épinard, pomme de terre"
"BSV_RA_2013_MARAICH_07_cle07818c"	"de terre .. ... .."	"Poireau, oignons, échalotes, melon"	"Poireau, oignons, échalotes, melon"	"Poireau ( poireau ) =http://ontology.inrae.fr/frenchcropusage/Poireaux, oignons ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons, échalotes ( échalote ) =http://ontology.inrae.fr/frenchcropusage/Echalotes, melon ( melon ) =http://ontology.inrae.fr/frenchcropusage/Melons"	"... p1 p2 p3 p4 CUL"	"800-834"	"type=N_PUN_N, match=fcu, form=Poireau, oignons, échalotes, melon"
"BSV_RA_2013_MARAICH_07_cle07818c"	"1. Zone Manziat Sur"	"radis, présence"	", présence"	"radis ( radis ) =http://ontology.inrae.fr/frenchcropusage/Radis"	"d'altises avec une"	"5623-5638"	"type=N_PUN_N, match=fcu, form=radis, présence"
"BSV_RA_2013_MARAICH_07_cle07818c"	"EGETAL RHONE-ALPES"	"Poireau, oignons, échalotes"	"Poireau, oignons, échalotes"	"Poireau ( poireau ) =http://ontology.inrae.fr/frenchcropusage/Poireaux, oignons ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons, échalotes ( échalote ) =http://ontology.inrae.fr/frenchcropusage/Echalotes"	"Zone Feillens - Zon"	"6508-6535"	"type=N_PUN_N, match=fcu, form=Poireau, oignons, échalotes"
"BSV_RA_2013_MARAICH_07_cle07818c"	"ne Drôme centre Sur"	"oignon, le botrytis"	", le botrytis"	"oignon ( oignon ) =http://ontology.inrae.fr/frenchcropusage/Oignons"	"se retrouve parfois"	"6830-6849"	"type=N_PUN_N, match=fcu, form=oignon, le botrytis"
"BSV_RA_2014_MARAICH_09_cle0489d1"	". ... . p1 Carotte,"	"céleri, chou, radis, poireau, courgette, pomme de terre"	"céleri, chou, radis, poireau, courgette, pomme de terre"	"céleri ( céleri ) =http://ontology.inrae.fr/frenchcropusage/Celeris, chou ( chou potager ) =http://ontology.inrae.fr/frenchcropusage/Choux_potagers, chou ( chou ) =http://ontology.inrae.fr/frenchcropusage/Choux, radis ( radis ) =http://ontology.inrae.fr/frenchcropusage/Radis, poireau ( poireau ) =http://ontology.inrae.fr/frenchcropusage/Poireaux, courgette ( courgette ) =http://ontology.inrae.fr/frenchcropusage/Courgettes, pomme de terre ( pomme de terre ) =http://ontology.inrae.fr/frenchcropusage/Pommes_de_terre, pomme ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers"	". p2 CULTURES SOUS"	"719-774"	"type=N_PUN_N, match=fcu, form=céleri, chou, radis, poireau, courgette, pomme de terre"
"BSV_RA_Arbono16du03062014_cle0a9b1f"	"en particulier dans"	"les parcelles de pêchers et d'abricotiers"	"les parcelles de  et d'abricotiers"	"pêchers ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers"	"attaquées en 2013."	"419-460"	"type=N_KON_N, match=fcu, form=les parcelles de pêchers et d'abricotiers"
"BSV_RA_Arbono16du03062014_cle0a9b1f"	"s déchets végétaux ("	"feuilles, fruits, rameaux"	"feuilles, , rameaux"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	") et encroûtements d"	"1710-1735"	"type=N_PUN_N, match=fcu, form=feuilles, fruits, rameaux"
"BSV_RA_Arbono16du03062014_cle0a9b1f"	"ations, notamment à"	"l'approche de la récolte, les fruits"	"l'approche de la récolte, les "	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"à pleine maturité é"	"18102-18138"	"type=N_PUN_N, match=fcu, form=l'approche de la récolte, les fruits"
"BSV_RA_Arbono16du03062014_cle0a9b1f"	"ne-Loire le 2 juin."	"CARPOCAPSE DES POMMIERS ET POIRIERS"	"CARPOCAPSE DES POMMIERS ET POIRIERS"	"POMMIERS ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, POIRIERS ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	"- CYDIA POMONELLA L"	"28519-28554"	"type=N_KON_N, match=fcu, form=CARPOCAPSE DES POMMIERS ET POIRIERS"
"BSV_RA_Arbono16du03062014_cle0a9b1f"	". Des symptômes sur"	"feuilles et fruit"	"feuilles et "	"fruit ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"(Cf photo dans BSV"	"35295-35312"	"type=N_KON_N, match=fcu, form=feuilles et fruit"
"BSV_RA_Arbono16du03062014_cle0a9b1f"	"récoltes/semaine en"	"framboise et fraise"	"framboise et fraise"	"framboise ( framboisier ) =http://ontology.inrae.fr/frenchcropusage/Framboisiers, fraise ( fraisier ) =http://ontology.inrae.fr/frenchcropusage/Fraisiers"	"). Veiller à la bonn"	"37937-37956"	"type=N_KON_N, match=fcu, form=framboise et fraise"
"BSV_RA_Arbono17du07062011_cle057aed"	"mpignon qui attaque"	"les feuilles, les rameaux et les fruits"	"les feuilles, les rameaux et les "	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"de plusieurs espèce"	"771-810"	"type=N_PUN_N_KON_N, match=fcu, form=les feuilles, les rameaux et les fruits"
"BSV_RA_Arbono17du07062011_cle057aed"	"portants dégâts sur"	"abricot et pêche"	"abricot et pêche"	"abricot ( abricotier ) =http://ontology.inrae.fr/frenchcropusage/Abricotiers, pêche ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers"	". Il attaque princip"	"2441-2457"	"type=N_KON_N, match=fcu, form=abricot et pêche"
"BSV_RA_Arbono17du07062011_cle057aed"	"e aux Prunus, et en"	"particulier aux pêchers, abricotiers et pruniers"	"particulier aux pêchers, abricotiers et pruniers"	"pêchers ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers, abricotiers ( abricotier ) =http://ontology.inrae.fr/frenchcropusage/Abricotiers, pruniers ( prunier ) =http://ontology.inrae.fr/frenchcropusage/Pruniers"	". Les symptômes se p"	"3610-3658"	"type=N_PUN_N_KON_N, match=fcu, form=particulier aux pêchers, abricotiers et pruniers"
"BSV_RA_Arbono17du07062011_cle057aed"	"IRIER CARPOCAPSE DU"	"POMMIER ET POIRIER"	"POMMIER ET POIRIER"	"POMMIER ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, POIRIER ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	"-CYDIA POMONELLA Le"	"14712-14730"	"type=N_KON_N, match=fcu, form=POMMIER ET POIRIER"
"BSV_RA_Arbono17du07062011_cle057aed"	"pièges installés en"	"vergers de pommiers et poiriers"	"vergers de pommiers et poiriers"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere, pommiers ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, poiriers ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	"se poursuit en Savo"	"15672-15703"	"type=N_KON_N, match=fcu, form=vergers de pommiers et poiriers"
"BSV_RA_Arbono17du07062011_cle057aed"	"posés sur certaines"	"parcelles de pommiers et poiriers de Savoie"	"parcelles de pommiers et poiriers de Savoie"	"pommiers ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, poiriers ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	"/Haute-Savoie pour s"	"16339-16382"	"type=N_KON_N, match=fcu, form=parcelles de pommiers et poiriers de Savoie"
"BSV_RA_Arbono17du07062011_cle057aed"	"ur 50 observées) en"	"pommier et poirier"	"pommier et poirier"	"pommier ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, poirier ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	". FEU BACTERIEN-ERWI"	"16980-16998"	"type=N_KON_N, match=fcu, form=pommier et poirier"
"BSV_RA_Arbono20du26062012_cle0e141e"	"e aux Prunus, et en"	"particulier aux pêchers, abricotiers et pruniers"	"particulier aux pêchers, abricotiers et pruniers"	"pêchers ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers, abricotiers ( abricotier ) =http://ontology.inrae.fr/frenchcropusage/Abricotiers, pruniers ( prunier ) =http://ontology.inrae.fr/frenchcropusage/Pruniers"	". Les symptômes se p"	"2263-2311"	"type=N_PUN_N_KON_N, match=fcu, form=particulier aux pêchers, abricotiers et pruniers"
"BSV_RA_Arbono20du26062012_cle0e141e"	"été observée sur 8"	"parcelles de pêchers et d'abricotiers"	"parcelles de  et d'abricotiers"	"pêchers ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers"	"de Moyenne Vallée d"	"4037-4074"	"type=N_KON_N, match=fcu, form=parcelles de pêchers et d'abricotiers"
"BSV_RA_Arbono20du26062012_cle0e141e"	"aissement autour du"	"point de piqure et le fruit"	"point de piqure et le "	"fruit ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"finit par se liquéf"	"13097-13124"	"type=N_KON_N, match=fcu, form=point de piqure et le fruit"
"BSV_RA_Arbono20du26062012_cle0e141e"	"IRIER CARPOCAPSE DU"	"POMMIER ET POIRIER"	"POMMIER ET POIRIER"	"POMMIER ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, POIRIER ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	"-CYDIA POMONELLA Le"	"18402-18420"	"type=N_KON_N, match=fcu, form=POMMIER ET POIRIER"
"BSV_RA_Arbono20du26062012_cle0e141e"	"casionnellement aux"	"pommiers et poiriers"	"pommiers et poiriers"	"pommiers ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, poiriers ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	". Des pièges sont en"	"21924-21944"	"type=N_KON_N, match=fcu, form=pommiers et poiriers"
"BSV_RA_Arbono20du26062012_cle0e141e"	"posés sur certaines"	"parcelles de pommiers et poiriers"	"parcelles de pommiers et poiriers"	"pommiers ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, poiriers ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	"pour suivre le vol"	"22574-22607"	"type=N_KON_N, match=fcu, form=parcelles de pommiers et poiriers"
"BSV_RA_Arbono20du26062012_cle0e141e"	"z attentivement vos"	"vergers, la bactérie"	", la bactérie"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere"	"est un organisme de"	"24597-24617"	"type=N_PUN_N, match=fcu, form=vergers, la bactérie"
"BSV_RA_Arbono20du26062012_cle0e141e"	"pièges installés en"	"cerisiers, fraisiers, framboisiers, myrtilles, pêchers et abricotiers"	"cerisiers, fraisiers, framboisiers, myrtilles, pêchers et abricotiers"	"cerisiers ( cerisier ) =http://ontology.inrae.fr/frenchcropusage/Cerisiers, fraisiers ( fraisier ) =http://ontology.inrae.fr/frenchcropusage/Fraisiers, framboisiers ( framboisier ) =http://ontology.inrae.fr/frenchcropusage/Framboisiers, myrtilles ( myrtille ) =http://ontology.inrae.fr/frenchcropusage/Myrtilles, pêchers ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers, abricotiers ( abricotier ) =http://ontology.inrae.fr/frenchcropusage/Abricotiers"	". Sur les parcelles,"	"27989-28058"	"type=N_PUN_N_KON_N, match=fcu, form=cerisiers, fraisiers, framboisiers, myrtilles, pêchers et abricotiers"
"BSV_RA_Arbono20du26062012_cle0e141e"	"eilles feuilles sur"	"fraisier, éclaircissage"	", éclaircissage"	"fraisier ( fraisier ) =http://ontology.inrae.fr/frenchcropusage/Fraisiers"	"des latérales basse"	"28469-28492"	"type=N_PUN_N, match=fcu, form=fraisier, éclaircissage"
"BSV_RA_Arbono22du02072013_cle01ede7"	"(principalement sur"	"prunier et abricotier"	"prunier et abricotier"	"prunier ( prunier ) =http://ontology.inrae.fr/frenchcropusage/Pruniers, abricotier ( abricotier ) =http://ontology.inrae.fr/frenchcropusage/Abricotiers"	") peut dans certaine"	"1699-1720"	"type=N_KON_N, match=fcu, form=prunier et abricotier"
"BSV_RA_Arbono22du02072013_cle01ede7"	"s déchets végétaux ("	"feuilles, fruits, rameaux"	"feuilles, , rameaux"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	") et encroûtements d"	"3493-3518"	"type=N_PUN_N, match=fcu, form=feuilles, fruits, rameaux"
"BSV_RA_Arbono22du02072013_cle01ede7"	"ricotier mais aussi"	"le pêcher et le prunier"	"le pêcher et le prunier"	"pêcher ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers, prunier ( prunier ) =http://ontology.inrae.fr/frenchcropusage/Pruniers"	". En été, la maladie"	"4086-4109"	"type=N_KON_N, match=fcu, form=le pêcher et le prunier"
"BSV_RA_Arbono22du02072013_cle01ede7"	"nt n'a été fait sur"	"les parcelles de pêchers et d'abricotiers du secteur"	"les parcelles de  et d'abricotiers du secteur"	"pêchers ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers"	"Rhône-Loire et Nyon"	"5060-5112"	"type=N_KON_N, match=fcu, form=les parcelles de pêchers et d'abricotiers du secteur"
"BSV_RA_Arbono22du02072013_cle01ede7"	"le 1er juillet sur"	"les parcelles de pêchers et d'abricotiers du réseau"	"les parcelles de  et d'abricotiers du réseau"	"pêchers ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers"	". 300 Vol de Tordeus"	"7830-7881"	"type=N_KON_N, match=fcu, form=les parcelles de pêchers et d'abricotiers du réseau"
"BSV_RA_Arbono22du02072013_cle01ede7"	"aucun symptôme sur"	"fruit et feuillage"	" et feuillage"	"fruit ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"n'a été repéré sur"	"12232-12250"	"type=N_KON_N, match=fcu, form=fruit et feuillage"
"BSV_RA_Arbono22du02072013_cle01ede7"	"aissement autour du"	"point de piqure et le fruit"	"point de piqure et le "	"fruit ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"finit par se liquéf"	"13314-13341"	"type=N_KON_N, match=fcu, form=point de piqure et le fruit"
"BSV_RA_Arbono22du02072013_cle01ede7"	"e-Loire. 100 Vol de"	"Carpocapses des pommes et poires"	"Carpocapses des pommes et poires"	"pommes ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, poires ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	"Toutes zones (cumul"	"19586-19618"	"type=N_KON_N, match=fcu, form=Carpocapses des pommes et poires"
"BSV_RA_Arbono22du02072013_cle01ede7"	"s pièges suivis sur"	"cerisier, fraisier, framboisier, cassis, mûrier"	"cerisier, fraisier, framboisier, cassis, mûrier"	"cerisier ( cerisier ) =http://ontology.inrae.fr/frenchcropusage/Cerisiers, fraisier ( fraisier ) =http://ontology.inrae.fr/frenchcropusage/Fraisiers, framboisier ( framboisier ) =http://ontology.inrae.fr/frenchcropusage/Framboisiers, cassis ( cassissier ) =http://ontology.inrae.fr/frenchcropusage/Cassissiers"	"et pêcher. Soyez pa"	"30783-30830"	"type=N_PUN_N, match=fcu, form=cerisier, fraisier, framboisier, cassis, mûrier"
"BSV_RA_Arbono22du02072013_cle01ede7"	"eilles feuilles sur"	"fraisier, éclaircissage"	", éclaircissage"	"fraisier ( fraisier ) =http://ontology.inrae.fr/frenchcropusage/Fraisiers"	"des latérales basse"	"31327-31350"	"type=N_PUN_N, match=fcu, form=fraisier, éclaircissage"
"BSV_RA_Arbono23du17072012_cle0139a2"	"(principalement sur"	"prunier et abricotier"	"prunier et abricotier"	"prunier ( prunier ) =http://ontology.inrae.fr/frenchcropusage/Pruniers, abricotier ( abricotier ) =http://ontology.inrae.fr/frenchcropusage/Abricotiers"	") peut dans certaine"	"1309-1330"	"type=N_KON_N, match=fcu, form=prunier et abricotier"
"BSV_RA_Arbono23du17072012_cle0139a2"	"ricotier mais aussi"	"le pêcher et le prunier"	"le pêcher et le prunier"	"pêcher ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers, prunier ( prunier ) =http://ontology.inrae.fr/frenchcropusage/Pruniers"	". En été, la maladie"	"2735-2758"	"type=N_KON_N, match=fcu, form=le pêcher et le prunier"
"BSV_RA_Arbono23du17072012_cle0139a2"	"s déchets végétaux ("	"feuilles, fruits, rameaux"	"feuilles, , rameaux"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	") et encroûtements d"	"4355-4380"	"type=N_PUN_N, match=fcu, form=feuilles, fruits, rameaux"
"BSV_RA_Arbono23du17072012_cle0139a2"	"juillet, sur les 7"	"parcelles de pêchers et d'abricotiers"	"parcelles de  et d'abricotiers"	"pêchers ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers"	"de Moyenne Vallée d"	"5321-5358"	"type=N_KON_N, match=fcu, form=parcelles de pêchers et d'abricotiers"
"BSV_RA_Arbono23du17072012_cle0139a2"	"u Rhône observées à"	"l'approche de la récolte, une parcelle de pêchers et une parcelle"	"l'approche de la récolte, une parcelle de  et une parcelle"	"pêchers ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers"	"d'abricotiers prése"	"5398-5463"	"type=N_PUN_N_KON_N, match=fcu, form=l'approche de la récolte, une parcelle de pêchers et une parcelle"
"BSV_RA_Arbono23du17072012_cle0139a2"	"été observée sur 3"	"parcelles de pêchers et d'abricotiers"	"parcelles de  et d'abricotiers"	"pêchers ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers"	"de Moyenne Vallée d"	"5870-5907"	"type=N_KON_N, match=fcu, form=parcelles de pêchers et d'abricotiers"
"BSV_RA_Arbono23du17072012_cle0139a2"	"es observations sur"	"pousse et fruit"	"pousse et "	"fruit ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"ont été réalisées s"	"11346-11361"	"type=N_KON_N, match=fcu, form=pousse et fruit"
"BSV_RA_Arbono23du17072012_cle0139a2"	"IRIER CARPOCAPSE DU"	"POMMIER ET POIRIER"	"POMMIER ET POIRIER"	"POMMIER ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, POIRIER ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	"-CYDIA POMONELLA Le"	"14705-14723"	"type=N_KON_N, match=fcu, form=POMMIER ET POIRIER"
"BSV_RA_Arbono23du17072012_cle0139a2"	"casionnellement aux"	"pommiers et poiriers"	"pommiers et poiriers"	"pommiers ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, poiriers ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	". Les suivis réalisé"	"19554-19574"	"type=N_KON_N, match=fcu, form=pommiers et poiriers"
"BSV_RA_Arbono23du17072012_cle0139a2"	"posés sur certaines"	"parcelles de pommiers et poiriers"	"parcelles de pommiers et poiriers"	"pommiers ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, poiriers ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	"pour suivre le vol"	"20088-20121"	"type=N_KON_N, match=fcu, form=parcelles de pommiers et poiriers"
"BSV_RA_Arbono23du17072012_cle0139a2"	"z attentivement vos"	"vergers, la bactérie"	", la bactérie"	"vergers ( arboriculture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere"	"est un organisme de"	"21384-21404"	"type=N_PUN_N, match=fcu, form=vergers, la bactérie"
"BSV_RA_Arbono23du17072012_cle0139a2"	"é des blessures sur"	"abricot, pêche, kiwi"	"abricot, pêche, kiwi"	"abricot ( abricotier ) =http://ontology.inrae.fr/frenchcropusage/Abricotiers, pêche ( pêcher ) =http://ontology.inrae.fr/frenchcropusage/Pechers, kiwi ( actinidia ) =http://ontology.inrae.fr/frenchcropusage/Actinidias"	", prune, pomme et po"	"22870-22890"	"type=N_PUN_N, match=fcu, form=abricot, pêche, kiwi"
"BSV_RA_Arbono23du17072012_cle0139a2"	"les plus sensibles ("	"fraisiers, framboisiers"	"fraisiers, framboisiers"	"fraisiers ( fraisier ) =http://ontology.inrae.fr/frenchcropusage/Fraisiers, framboisiers ( framboisier ) =http://ontology.inrae.fr/frenchcropusage/Framboisiers"	", Petits fruits). Le"	"24295-24318"	"type=N_PUN_N, match=fcu, form=fraisiers, framboisiers"
"BSV_RA_Arbono23du17072012_cle0139a2"	"eilles feuilles sur"	"fraisier, éclaircissage"	", éclaircissage"	"fraisier ( fraisier ) =http://ontology.inrae.fr/frenchcropusage/Fraisiers"	"des latérales basse"	"25678-25701"	"type=N_PUN_N, match=fcu, form=fraisier, éclaircissage"
"BSV_RA_Arbono30du10092013_cle067bb6"	"allée du Rhône.Le 9"	"septembre, un comptage des fruits"	"septembre, un comptage des "	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	"touchés a été réali"	"1641-1674"	"type=N_PUN_N, match=fcu, form=septembre, un comptage des fruits"
"BSV_RA_Arbono30du10092013_cle067bb6"	"s déchets végétaux ("	"feuilles, fruits, rameaux"	"feuilles, , rameaux"	"fruits ( culture fruitière ) =http://ontology.inrae.fr/frenchcropusage/Cultures_fruitieres"	") et encroûtements d"	"3044-3069"	"type=N_PUN_N, match=fcu, form=feuilles, fruits, rameaux"
"BSV_RA_Arbono30du10092013_cle067bb6"	"casionnellement aux"	"pommiers et poiriers"	"pommiers et poiriers"	"pommiers ( pommier ) =http://ontology.inrae.fr/frenchcropusage/Pommiers, poiriers ( poirier ) =http://ontology.inrae.fr/frenchcropusage/Poiriers"	". Les prises se main"	"12107-12127"	"type=N_KON_N, match=fcu, form=pommiers et poiriers"
"BSV_RA_Arbono30du10092013_cle067bb6"	"en particulier sur"	"fraises, framboises"	"fraises, framboises"	"fraises ( fraisier ) =http://ontology.inrae.fr/frenchcropusage/Fraisiers, framboises ( framboisier ) =http://ontology.inrae.fr/frenchcropusage/Framboisiers"	"et Petits fruits. L"	"18483-18502"	"type=N_PUN_N, match=fcu, form=fraises, framboises"
"BSV_RA_GC_no03_du_08_03_2012_cle81452d"	"ournesoll : CETIOM,"	"Blé et maïs"	"Blé et maïs"	"Blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	": ARVALIS-Institut"	"6525-6536"	"type=N_KON_N, match=fcu, form=Blé et maïs"
"BSV_RA_GC_no04_du_15_03_2012_cle8a6195"	"ournesoll : CETIOM,"	"Blé et maïs"	"Blé et maïs"	"Blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	": ARVALIS-Institut"	"4377-4388"	"type=N_KON_N, match=fcu, form=Blé et maïs"
"BSV_RA_GC_no07_du_14_03_2013_cle84665e-1"	"7 du 14 mars2013 2"	"Blé et orge"	"Blé et orge"	"Blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges"	"24 parcelles de blé"	"4144-4155"	"type=N_KON_N, match=fcu, form=Blé et orge"
"BSV_RA_GC_no07_du_14_03_2013_cle84665e-1"	"sque et rédaction :"	"Colza et tournesol"	"Colza et tournesol"	"Colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas, tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols"	": CETIOM, Blé et ma"	"8047-8065"	"type=N_KON_N, match=fcu, form=Colza et tournesol"
"BSV_RA_GC_no07_du_14_03_2013_cle84665e-1"	"tournesol : CETIOM,"	"Blé et maïs"	"Blé et maïs"	"Blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	": ARVALIS-Institut"	"8076-8087"	"type=N_KON_N, match=fcu, form=Blé et maïs"
"BSV_RA_GC_no10_du_26_04_2012_cle8938d3"	"ultures mellifères ("	"colza, tournesol, féverole, luzerne, maïs"	"colza, tournesol, féverole, luzerne, maïs"	"colza ( colza ) =http://ontology.inrae.fr/frenchcropusage/Colzas, tournesol ( tournesol ) =http://ontology.inrae.fr/frenchcropusage/Tournesols, féverole ( féverole ) =http://ontology.inrae.fr/frenchcropusage/Feveroles, luzerne ( luzerne ) =http://ontology.inrae.fr/frenchcropusage/Luzernes, maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	", CIPAN ) en début d"	"12059-12100"	"type=N_PUN_N, match=fcu, form=colza, tournesol, féverole, luzerne, maïs"
"BSV_RA_GC_no10_du_26_04_2012_cle8938d3"	"ournesoll : CETIOM,"	"Blé et maïs"	"Blé et maïs"	"Blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, maïs ( maïs ) =http://ontology.inrae.fr/frenchcropusage/Mais"	": ARVALIS-Institut"	"13825-13836"	"type=N_KON_N, match=fcu, form=Blé et maïs"
"BSV_RA_GC_no11_du_11_04_2013_cle8386ed"	"ations spécifiques."	"Blé et orge"	"Blé et orge"	"Blé ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles, orge ( orge ) =http://ontology.inrae.fr/frenchcropusage/Orges"	"29 parcelles au tot"	"4745-4756"	"type=N_KON_N, match=fcu, form=Blé et orge"
"BSV_RA_GC_no11_du_11_04_2013_cle8386ed"	"1 avril 2013 3 Sur"	"blés, la rouille"	", la rouille"	"blés ( blé ) =http://ontology.inrae.fr/frenchcropusage/Bles"	"brune confirme sa p"	"6433-6449"	"type=N_PUN_N, match=fcu, form=blés, la rouille"
