"bsv"	"html tags"	"segment (type)"	"segment (form)"	"fcu concepts"	"bioagressors"	"stages"	"locality"	"dates"	"context before"	"context after"	"location"	"features"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"FOOTER
BR"	"EDITION"	"BSV LEGUMES N°12 DU 22/07/2020"	""	""	""	""	"22/07/,
2020"	"et le botrytis. 14"	"Légumes d'industri"	"25537-25567"	"type=EDITION, form=BSV LEGUMES N°12 DU 22/07/2020"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H1"	"CULTURE"	"Légumes d'industrie"	"culture légumière"	""	""	""	""	"N°12 DU 22/07/2020"	"HARICOT Composition"	"25569-25588"	"type=CULTURE, form=Légumes d'industrie"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H3"	"CULTURE"	"HARICOT"	"haricot"	""	""	""	""	"Légumes d'industrie"	"Composition du rése"	"25589-25596"	"type=CULTURE, form=HARICOT"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H2
P"	"RESEAU D'OBSERVATION"	"Composition du réseau d'observation
12 parcelles de haricots/flageolets stade levée à aiguillettes, secteurs Epieds en Beauce, Orgères en Beauce, Viabon, Ozoir le Breuil, Merouville, Saint Denis de l'Hotel, Bray en Val et Tigy."	"haricot,
haricot demi-sec"	""	""	""	""	"d'industrie HARICOT"	"MOUCHE DES SEMIS Et"	"25597-25824"	"type=RESEAU D'OBSERVATION, form=Composition du réseau d'observation
12 parcelles de haricots/flageolets stade levée à aiguillettes, secteurs Epieds en Beauce, Orgères en Beauce, Viabon, Ozoir le Breuil, Merouville, Saint Denis de l'Hotel, Bray en Val et Tigy."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H1"	"RISQUE"	"MOUCHE"	""	"MOUCHE"	""	""	""	"ray en Val et Tigy."	"DES SEMIS Etat géné"	"25825-25831"	"type=RISQUE, form=MOUCHE"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H3"	"RISQUE"	"PUCERON"	""	"PUCERON"	""	""	""	"semis de mi-juillet"	"Etat général De rar"	"25906-25913"	"type=RISQUE, form=PUCERON"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H2
P
H3
H2
P
H3
H3
H2"	"RISQUE"	"Seuil indicatif de risque
Le seuil indicatif de risque est de 1 colonie de pucerons pour 2 plantes. Les pucerons, en plus d'affaiblir les plantes par ponctions de sève peuvent également être vecteurs de viroses.
SITONE
Etat général
Des dégâts, rarement importants, sont observés dans des bordures de parcelles, en particulier pour les deuxièmes cultures après un pois de conserve ou à proximité d'une parcelle de pois.
PYRALE
DU MAÏS
Etat général"	"pois,
pois,
maïs"	"pucerons,
pucerons,
PYRALE"	""	""	""	"et est quasi nulle."	"Récapitulatif des c"	"26036-26482"	"type=RISQUE, form=Seuil indicatif de risque
Le seuil indicatif de risque est de 1 colonie de pucerons pour 2 plantes. Les pucerons, en plus d'affaiblir les plantes par ponctions de sève peuvent également être vecteurs de viroses.
SITONE
Etat général
Des dégâts, rarement importants, sont observés dans des bordures de parcelles, en particulier pour les deuxièmes cultures après un pois de conserve ou à proximité d'une parcelle de pois.
PYRALE
DU MAÏS
Etat général"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H2
P"	"RISQUE"	"Seuil indicatif de risque
Le stade de sensibilité du haricot/flageolet au ravageur va du stade bouton jusqu'à quelques jours avant la récolte. Seuil de nuisibilité : dès la 1ère capture."	"haricot,
haricot demi-sec"	""	""	""	""	"atif des captures :"	"NOCTUELLE H ELIOTHI"	"26512-26698"	"type=RISQUE, form=Seuil indicatif de risque
Le stade de sensibilité du haricot/flageolet au ravageur va du stade bouton jusqu'à quelques jours avant la récolte. Seuil de nuisibilité : dès la 1ère capture."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"FOOTER
BR"	"EDITION"	"BSV LEGUMES N°12 DU 22/07/2020"	""	""	""	""	"22/07/,
2020"	"UELLE H ELIOTHIS 15"	"Etat général Récap"	"26723-26753"	"type=EDITION, form=BSV LEGUMES N°12 DU 22/07/2020"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H2
P
H2
BR"	"RISQUE"	"Seuil indicatif de risque
Idem pyrale.
Prévision globale
Pucerons, mouche des semis, sitones : Le risque est faible."	""	"pyrale,
Pucerons,
mouche,
sitones"	""	""	""	"atif des captures :"	"Pyrale, Héliothis :"	"26797-26913"	"type=RISQUE, form=Seuil indicatif de risque
Idem pyrale.
Prévision globale
Pucerons, mouche des semis, sitones : Le risque est faible."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H3"	"CULTURE"	"SCORSONERE"	"scorsonère"	""	""	""	""	"e risque est moyen."	"Composition du rése"	"26954-26964"	"type=CULTURE, form=SCORSONERE"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H2
P"	"RESEAU D'OBSERVATION"	"Composition du réseau d'observation
10 parcelles secteurs Tigy (45), St Martin d'Abbat (45), Bray en Val (45), Contres (41), La Ville aux Dames (37), grossissement."	""	""	""	""	""	"t moyen. SCORSONERE"	"ROUILLE BLANCHE /A"	"26965-27129"	"type=RESEAU D'OBSERVATION, form=Composition du réseau d'observation
10 parcelles secteurs Tigy (45), St Martin d'Abbat (45), Bray en Val (45), Contres (41), La Ville aux Dames (37), grossissement."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H3"	"RISQUE"	"ROUILLE"	""	"ROUILLE"	""	""	""	"37), grossissement."	"BLANCHE /A LTERNARI"	"27130-27137"	"type=RISQUE, form=ROUILLE"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"SMALL
P
P"	"RISQUE"	"Pustules de rouille blanche. Photo CA45
La rouille blanche est une maladie fréquente sur végétation jeune, sur laquelle elle se développe à la faveur de conditions fraiches et humides. Bien que rares, les fortes attaques de rouille blanche peuvent conduire à une destruction du feuillage. La présence de rouille blanche peut par ailleurs favoriser l'installation d'Alternaria."	""	"rouille,
rouille,
rouille,
rouille"	""	""	""	"indicatif de risque"	"OÏDIUM Etat général"	"27704-28080"	"type=RISQUE, form=Pustules de rouille blanche. Photo CA45
La rouille blanche est une maladie fréquente sur végétation jeune, sur laquelle elle se développe à la faveur de conditions fraiches et humides. Bien que rares, les fortes attaques de rouille blanche peuvent conduire à une destruction du feuillage. La présence de rouille blanche peut par ailleurs favoriser l'installation d'Alternaria."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H3"	"RISQUE"	"OÏDIUM"	""	"OÏDIUM"	""	""	""	"ation d'Alternaria."	"Etat général Des pa"	"28081-28087"	"type=RISQUE, form=OÏDIUM"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H2
P"	"RISQUE"	"Seuil indicatif de risque
L'oïdium est favorisé par des conditions climatiques chaudes et sèches. Le duvet blanc grisâtre (ne pas confondre avec la pruine"	""	""	""	""	""	"eurs de production."	"Oïdium sur scorsonè"	"28232-28386"	"type=RISQUE, form=Seuil indicatif de risque
L'oïdium est favorisé par des conditions climatiques chaudes et sèches. Le duvet blanc grisâtre (ne pas confondre avec la pruine"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"SMALL
P"	"RISQUE"	"Oïdium sur scorsonère. Photo CA45"	"scorsonère"	"Oïdium"	""	""	""	"ndre avec la pruine"	"16 BSV LEGUMES N°12"	"28387-28420"	"type=RISQUE, form=Oïdium sur scorsonère. Photo CA45"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"FOOTER
BR"	"EDITION"	"BSV LEGUMES N°12 DU 22/07/2020"	""	""	""	""	"22/07/,
2020"	"nère. Photo CA45 16"	"naturelle de la cu"	"28424-28454"	"type=EDITION, form=BSV LEGUMES N°12 DU 22/07/2020"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H3"	"RISQUE"	"RHIZOCTONE"	""	"RHIZOCTONE"	""	""	""	"e de la croissance."	"Etat général Les fo"	"28562-28572"	"type=RISQUE, form=RHIZOCTONE"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H2
P
H2
BR"	"RISQUE"	"Seuil indicatif de risque
Le rhizoctone est favorisé par les chaleurs et l'humidité, ainsi que par des rotations intensives en légumes racines.
Prévision globale
Rouille blanche : le risque de développement est moyen, les nuits fraiches et l'irrigation accentuent le risque."	"légume racine"	"rhizoctone,
Rouille"	""	""	""	"rcelles concernées."	"Oïdium : le risque e"	"28664-28938"	"type=RISQUE, form=Seuil indicatif de risque
Le rhizoctone est favorisé par les chaleurs et l'humidité, ainsi que par des rotations intensives en légumes racines.
Prévision globale
Rouille blanche : le risque de développement est moyen, les nuits fraiches et l'irrigation accentuent le risque."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H1"	"CULTURE"	"Oignons / Echalotes"	"oignon"	""	""	""	""	"ont très favorable."	"Composition du rése"	"29043-29062"	"type=CULTURE, form=Oignons / Echalotes"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H2
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE
FIGCAPTION
FIGURE"	"RESEAU D'OBSERVATION"	"Composition du réseau d'observation
Oignons bulbilles Oignons semis Jours longs Echalotes
Types oignons
Nombre de parcelles du réseau / département 45 28 41 37 1 1 3 1 2 1 1
Stades
Bulbaison Bulbaison Bulbaison"	""	""	""	""	""	"Oignons / Echalotes"	"MILDIOU Etat généra"	"29063-29273"	"type=RESEAU D'OBSERVATION, form=Composition du réseau d'observation
Oignons bulbilles Oignons semis Jours longs Echalotes
Types oignons
Nombre de parcelles du réseau / département 45 28 41 37 1 1 3 1 2 1 1
Stades
Bulbaison Bulbaison Bulbaison"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H3"	"RISQUE"	"MILDIOU"	""	"MILDIOU"	""	""	""	"Bulbaison Bulbaison"	"Etat général Des sy"	"29274-29281"	"type=RISQUE, form=MILDIOU"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"P
H2"	"RISQUE"	"Des symptômes de mildiou sont signalés sur oignons bulbilles et oignons semis précoces dans le Loiret (secteur Artenay, Montargis et dans le Val), ainsi que sur échalotes dans l'Eure-et-Loir (secteur Janville). Les foyers ne s'étendent pas dans les parcelles depuis 15 jours.
Seuil indicatif de risque"	"oignon,
oignon,
échalote"	"mildiou"	""	"Loiret"	""	"ILDIOU Etat général"	"17 BSV LEGUMES N°12"	"29295-29596"	"type=RISQUE, form=Des symptômes de mildiou sont signalés sur oignons bulbilles et oignons semis précoces dans le Loiret (secteur Artenay, Montargis et dans le Val), ainsi que sur échalotes dans l'Eure-et-Loir (secteur Janville). Les foyers ne s'étendent pas dans les parcelles depuis 15 jours.
Seuil indicatif de risque"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"FOOTER
BR"	"EDITION"	"BSV LEGUMES N°12 DU 22/07/2020"	""	""	""	""	"22/07/,
2020"	"icatif de risque 17"	"Tableau 1 : Modéli"	"29600-29630"	"type=EDITION, form=BSV LEGUMES N°12 DU 22/07/2020"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"FOOTER
BR"	"EDITION"	"BSV LEGUMES N°12 DU 22/07/2020"	""	""	""	""	"22/07/,
2020"	"ns climatiques). 18"	"Tableau 2 : Modéli"	"31467-31497"	"type=EDITION, form=BSV LEGUMES N°12 DU 22/07/2020"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"P
BR"	"RISQUE"	"Prévision Pour les oignons ou échalotes de semis précoce (jours longs de printemps) et les bulbilles d'oignon ou échalote de printemps, on considère qu'à la 2ème génération (première sortie de tache de la 2ème génération), le risque mildiou débute.- En exemple, le risque n'a pas démarré si dans le tableau, nous sommes en 2ème génération. Si le risque mildiou a démarré, nous somme en 2ème génération et autre génération au dessus quelquesoit sa couleur."	"oignon,
échalote,
échalote"	"mildiou,
mildiou"	""	"somme"	""	"tions climatiques)."	"Pour les oignons ou"	"33185-33640"	"type=RISQUE, form=Prévision Pour les oignons ou échalotes de semis précoce (jours longs de printemps) et les bulbilles d'oignon ou échalote de printemps, on considère qu'à la 2ème génération (première sortie de tache de la 2ème génération), le risque mildiou débute.- En exemple, le risque n'a pas démarré si dans le tableau, nous sommes en 2ème génération. Si le risque mildiou a démarré, nous somme en 2ème génération et autre génération au dessus quelquesoit sa couleur."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"P
BR"	"RISQUE"	"Pour les oignons ou échalote de semis tardif (jours longs de printemps tardif), on considère qu'à la 3ème génération (première sortie de tache de la 3ème génération), le risque mildiou débute.- En exemple, le risque n'a pas démarré si dans le tableau, nous sommes en 2ème génération ou en 3ème génération. Si le risque mildiou a démarré, nous somme en 3ème génération et autre génération au dessus quelquesoit sa couleur."	"oignon,
échalote"	"mildiou,
mildiou"	""	"somme"	""	"quesoit sa couleur."	"En présence de mild"	"33641-34062"	"type=RISQUE, form=Pour les oignons ou échalote de semis tardif (jours longs de printemps tardif), on considère qu'à la 3ème génération (première sortie de tache de la 3ème génération), le risque mildiou débute.- En exemple, le risque n'a pas démarré si dans le tableau, nous sommes en 2ème génération ou en 3ème génération. Si le risque mildiou a démarré, nous somme en 3ème génération et autre génération au dessus quelquesoit sa couleur."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"SMALL
P
BR"	"RISQUE"	"En présence de mildiou sporulant observé sur un secteur qu'il provienne d'oignon de consommation ou de bulbille, le risque est immédiat pour le secteur concerné quelle que soit la génération. Cette semaine, du mildiou sporulant a été observé sur oignon bulbille dans quelques secteurs du nord Loiret, Sud Beauce de l'Eure-et-Loir, Petite Beauce du Loir-et-Cher. Attention aux parcelles d'oignon semis "" printemps "" et bulbille oignon et échalote "" printemps "" à proximité de ces parcelles touchées avec présence de mildiou sporulant(spores grises grises sur les taches)."	"oignon,
oignon,
échalote"	"mildiou,
mildiou,
mildiou"	""	"nord,
Loiret"	""	"quesoit sa couleur."	"19 BSV LEGUMES N°12"	"34063-34633"	"type=RISQUE, form=En présence de mildiou sporulant observé sur un secteur qu'il provienne d'oignon de consommation ou de bulbille, le risque est immédiat pour le secteur concerné quelle que soit la génération. Cette semaine, du mildiou sporulant a été observé sur oignon bulbille dans quelques secteurs du nord Loiret, Sud Beauce de l'Eure-et-Loir, Petite Beauce du Loir-et-Cher. Attention aux parcelles d'oignon semis "" printemps "" et bulbille oignon et échalote "" printemps "" à proximité de ces parcelles touchées avec présence de mildiou sporulant(spores grises grises sur les taches)."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"FOOTER
BR"	"EDITION"	"BSV LEGUMES N°12 DU 22/07/2020"	""	""	""	""	"22/07/,
2020"	"sur les taches). 19"	"Tableau 1 pour les"	"34637-34667"	"type=EDITION, form=BSV LEGUMES N°12 DU 22/07/2020"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"P"	"RISQUE"	"Dans tous les cas, toutes les parcelles de printemps à proximité de parcelles de bulbilles de printemps avec présence de mildiou sporulant sont en risque important. Le risque est largement diminué avec les conditions estivales car la sporulation peut être amoindrie sur une végétation très sèche. A prendre en compte en cas d'irrigation des parcelles qui pourrait rendre ces conditions favorables."	""	"mildiou"	""	""	""	"rables à la maladie"	"THRIPS Etat général"	"35505-35902"	"type=RISQUE, form=Dans tous les cas, toutes les parcelles de printemps à proximité de parcelles de bulbilles de printemps avec présence de mildiou sporulant sont en risque important. Le risque est largement diminué avec les conditions estivales car la sporulation peut être amoindrie sur une végétation très sèche. A prendre en compte en cas d'irrigation des parcelles qui pourrait rendre ces conditions favorables."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H3"	"RISQUE"	"THRIPS"	""	"THRIPS"	""	""	""	"ditions favorables."	"Etat général Les th"	"35903-35909"	"type=RISQUE, form=THRIPS"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H2
P
H3
P
H2
BR
BR"	"RISQUE"	"Seuil indicatif de risque et prévision
Les thrips peuvent être préjudiciables pour de grandes populations par temps chaud et sec. Une population importante bloque le développement végétatif. Pour l'oignon blanc botte, il peut y avoir dépréciation du feuillage en cas de forte infestation avec dégâts.
DIVERS
Présence de ronds d'oignons virosés dans quelques parcelles du Loiret (secteur Artenay). Ces viroses sont transmises par les pucerons qui ont été présents en grande quantité sur de nombreuses cultures ce printemps. Présence de pieds atteints par de la fusariose. Quelques pieds disséminés dans des parcelles d'échalotes sur Janville (28)
Prévision globale
Mildiou modélisation :- Risque faible sur oignon de semis précoce, tardif et sur bulbille oignon ou échalote sur tous les secteurs modélisés pour les semaine 30 et 31."	"oignon,
oignon,
échalote"	"thrips,
pucerons,
fusariose,
Mildiou"	""	"Loiret"	""	"selon les secteurs."	"Thrips : Risque modé"	"36137-36968"	"type=RISQUE, form=Seuil indicatif de risque et prévision
Les thrips peuvent être préjudiciables pour de grandes populations par temps chaud et sec. Une population importante bloque le développement végétatif. Pour l'oignon blanc botte, il peut y avoir dépréciation du feuillage en cas de forte infestation avec dégâts.
DIVERS
Présence de ronds d'oignons virosés dans quelques parcelles du Loiret (secteur Artenay). Ces viroses sont transmises par les pucerons qui ont été présents en grande quantité sur de nombreuses cultures ce printemps. Présence de pieds atteints par de la fusariose. Quelques pieds disséminés dans des parcelles d'échalotes sur Janville (28)
Prévision globale
Mildiou modélisation :- Risque faible sur oignon de semis précoce, tardif et sur bulbille oignon ou échalote sur tous les secteurs modélisés pour les semaine 30 et 31."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H1"	"CULTURE"	"Poireau"	"poireau"	""	""	""	""	"nt les aéolothrips."	"Composition du rése"	"37099-37106"	"type=CULTURE, form=Poireau"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"P
BR
BR"	"RISQUE"	"Parcelles d'observations : les plantations observées sont au stade reprise ou début de croissance.Pièges Thrips, : 1 site Loir-et-Cher, 1 site Loiret.Pièges Teignes, :2 sites Indre-et-Loire, 5 sites Loir-et-Cher, 2 sites Loiret."	""	"Thrips,
Teignes"	""	"Loiret,
Indre,
Loiret"	""	"éseau d'observation"	"20 BSV LEGUMES N°12"	"37143-37371"	"type=RISQUE, form=Parcelles d'observations : les plantations observées sont au stade reprise ou début de croissance.Pièges Thrips, : 1 site Loir-et-Cher, 1 site Loiret.Pièges Teignes, :2 sites Indre-et-Loire, 5 sites Loir-et-Cher, 2 sites Loiret."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"FOOTER
BR"	"EDITION"	"BSV LEGUMES N°12 DU 22/07/2020"	""	""	""	""	"22/07/,
2020"	"2 sites Loiret. 20"	"THRIPS Etat généra"	"37375-37405"	"type=EDITION, form=BSV LEGUMES N°12 DU 22/07/2020"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H3"	"RISQUE"	"THRIPS"	""	"THRIPS"	""	""	""	"N°12 DU 22/07/2020"	"Etat général Les ca"	"37407-37413"	"type=RISQUE, form=THRIPS"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"P
H2
P"	"RISQUE"	"Les captures sur pièges englués sont moyennement importantes. Les infestations au sein des poireaux sont toujours variables selon les parcelles. Des aeolothrips (thrips prédateurs) sont observées sur plusieurs parcelles.
Seuil indicatif de risque
On considère que le risque d'infestation extérieure est atteint lorsque les vols dépassent 10 thrips jours par piège (limite du seuil depuis 2 semaines). Le seuil sur plante (50% des plantes avec au moins 1 thrips) est atteint sur certaines parcelles."	"poireau"	"thrips,
thrips,
thrips"	""	""	""	"THRIPS Etat général"	"TEIGNE Etat général"	"37427-37925"	"type=RISQUE, form=Les captures sur pièges englués sont moyennement importantes. Les infestations au sein des poireaux sont toujours variables selon les parcelles. Des aeolothrips (thrips prédateurs) sont observées sur plusieurs parcelles.
Seuil indicatif de risque
On considère que le risque d'infestation extérieure est atteint lorsque les vols dépassent 10 thrips jours par piège (limite du seuil depuis 2 semaines). Le seuil sur plante (50% des plantes avec au moins 1 thrips) est atteint sur certaines parcelles."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"H3"	"RISQUE"	"TEIGNE"	""	"TEIGNE"	""	""	""	"ertaines parcelles."	"Etat général Les ca"	"37926-37932"	"type=RISQUE, form=TEIGNE"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"FIGCAPTION
FIGURE"	"RISQUE"	"Le seuil est atteint à la sortie des premières larves. Il est primordial d'aller vérifier la présence au sein de chacunes des parcelles. Des produits de biocontrôle existent sur cet usage"	""	"larves"	""	""	""	"indicatif de risque"	"ROUILLE Etat généra"	"38063-38250"	"type=RISQUE, form=Le seuil est atteint à la sortie des premières larves. Il est primordial d'aller vérifier la présence au sein de chacunes des parcelles. Des produits de biocontrôle existent sur cet usage"
"BSV_legumes_12_du_22-07-20__cle0bb819"	"P"	"RISQUE"	"La rouille est en diminution."	""	"rouille"	""	""	""	"OUILLE Etat général"	"Prévision globale L"	"38272-38301"	"type=RISQUE, form=La rouille est en diminution."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"P"	"RISQUE"	"Le risque Thrips est modéré à élevé. Le risque Teigne est faible à modéré selon les secteurs. Le risque Rouille est faible."	""	"Thrips,
Teigne,
Rouille"	""	""	""	". Prévision globale"	"21 BSV LEGUMES N°12"	"38320-38443"	"type=RISQUE, form=Le risque Thrips est modéré à élevé. Le risque Teigne est faible à modéré selon les secteurs. Le risque Rouille est faible."
"BSV_legumes_12_du_22-07-20__cle0bb819"	"FOOTER
BR"	"EDITION"	"BSV LEGUMES N°12 DU 22/07/2020"	""	""	""	""	"22/07/,
2020"	"ille est faible. 21"	""	"38447-38477"	"type=EDITION, form=BSV LEGUMES N°12 DU 22/07/2020"
"BSV_legumes_12_du_26-06-19__cle047171"	"TITLE"	"TITLE"	"CENTRE-VAL DE LOIRE"	""	""	""	"CENTRE-VAL DE LOIRE"	""	""	"CENTRE-VAL DE LOIR"	"1-20"	"type=TITLE, form=CENTRE-VAL DE LOIRE"
"BSV_legumes_12_du_26-06-19__cle047171"	"H1"	"ZONE_GEO"	"CENTRE-VAL DE LOIRE"	""	""	""	"CENTRE-VAL DE LOIRE"	""	"ENTRE-VAL DE LOIRE"	"LEGUMES N°12 SOMMAI"	"22-41"	"type=ZONE_GEO, form=CENTRE-VAL DE LOIRE"
"BSV_legumes_12_du_26-06-19__cle047171"	"H1"	"EDITION"	"N°12"	""	""	""	""	""	"AL DE LOIRE LEGUMES"	"SOMMAIRE du 26/06/2"	"50-54"	"type=EDITION, form=N°12"
"BSV_legumes_12_du_26-06-19__cle047171"	"H2
H3
H4
P
H5"	"SOMMAIRE"	"SOMMAIRE
du 26/06/2019
Rédacteurs
CA41 / CA45 / FREDON CENTRE-VAL de LOIRE
Ravageurs communs à plusieurs cultures"	""	""	""	"CENTRE-VAL de LOIRE"	"26/06/,
2019"	"LOIRE LEGUMES N°12"	"1"	"55-168"	"type=SOMMAIRE, form=SOMMAIRE
du 26/06/2019
Rédacteurs
CA41 / CA45 / FREDON CENTRE-VAL de LOIRE
Ravageurs communs à plusieurs cultures"
"BSV_legumes_12_du_26-06-19__cle047171"	"H5"	"CULTURE"	"Cultures sous abris froid et maraîchage traditionnel"	"maraîchage"	""	""	""	""	"ges 3"	"4 Observateurs Cham"	"223-275"	"type=CULTURE, form=Cultures sous abris froid et maraîchage traditionnel"
"BSV_legumes_12_du_26-06-19__cle047171"	"H4"	"META"	"Observateurs"	""	""	""	""	""	"hage traditionnel 4"	"Chambres d'Agricult"	"278-290"	"type=META, form=Observateurs"
"BSV_legumes_12_du_26-06-19__cle047171"	"BR"	"RESEAU D'OBSERVATION"	"Chambres d'Agriculture 41, 37, 45, 28, Fredon Centre-Val de Loire, Maingourd, Conserves du blaisois, société Verte Vallée, Baby, Terr'Loire, BCO, Ferme des Arches et Ferme de la"	""	""	""	"Centre-Val de Loire"	""	"nnel 4 Observateurs"	"Motte. Observateurs"	"291-468"	"type=RESEAU D'OBSERVATION, form=Chambres d'Agriculture 41, 37, 45, 28, Fredon Centre-Val de Loire, Maingourd, Conserves du blaisois, société Verte Vallée, Baby, Terr'Loire, BCO, Ferme des Arches et Ferme de la"
"BSV_legumes_12_du_26-06-19__cle047171"	"SMALL
P"	"META"	"Philippe NOYAU, Président de la Chambre régionale d'agriculture du Centre-Val de Loire 13 avenue des Droits de l'Homme 45921 ORLEANS Ce bulletin est produit à partir d'observations ponctuelles. Il donne une tendance de la situation sanitaire régionale, qui ne peut pas être transposée telle quelle à la parcelle. La Chambre régionale d'agriculture du Centre-Val de Loire dégage donc toute responsabilité quant aux décisions prises par les agriculteurs pour la protection de leurs cultures. Action pilotée par le Ministère chargé de l'agriculture et le ministère chargé de l'écologie avec l'appui financier de l'AFB, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto."	""	""	""	"Centre-Val de Loire,
Centre-Val de Loire"	""	"ur de publication :"	"salade"	"704-1425"	"type=META, form=Philippe NOYAU, Président de la Chambre régionale d'agriculture du Centre-Val de Loire 13 avenue des Droits de l'Homme 45921 ORLEANS Ce bulletin est produit à partir d'observations ponctuelles. Il donne une tendance de la situation sanitaire régionale, qui ne peut pas être transposée telle quelle à la parcelle. La Chambre régionale d'agriculture du Centre-Val de Loire dégage donc toute responsabilité quant aux décisions prises par les agriculteurs pour la protection de leurs cultures. Action pilotée par le Ministère chargé de l'agriculture et le ministère chargé de l'écologie avec l'appui financier de l'AFB, par les crédits issus de la redevance pour pollutions diffuses attribués au financement du plan Ecophyto."
"BSV_legumes_12_du_26-06-19__cle047171"	"H1
P
BR
BR"	"SOMMAIRE"	"EN BREF
Mouche de l'oignon : vol en coursMouche des semis : vol en cours mais les captures diminuentToutes cultures : épisode de canicule en cours, les bassinages ponctuels en journée permettent de réduire les températures et d'augmenter l'humidité de l'air."	"maïs"	"Mouche"	""	""	""	"es 10"	"Solanacées et conco"	"1771-2029"	"type=SOMMAIRE, form=EN BREF
Mouche de l'oignon : vol en coursMouche des semis : vol en cours mais les captures diminuentToutes cultures : épisode de canicule en cours, les bassinages ponctuels en journée permettent de réduire les températures et d'augmenter l'humidité de l'air."
"BSV_legumes_12_du_26-06-19__cle047171"	"P
P"	"RISQUE"	"Solanacées et concombre : attention aux pucerons et acariens
Mildiou oignon modélisation : Mildiou en pause avec la canicule. Thrips ; présence généralisée à toutes les parcelles du réseau."	"concombre,
oignon"	"pucerons,
acariens,
Mildiou,
Mildiou,
Thrips"	""	""	""	"'humidité de l'air."	"Ravageurs communs"	"2030-2219"	"type=RISQUE, form=Solanacées et concombre : attention aux pucerons et acariens
Mildiou oignon modélisation : Mildiou en pause avec la canicule. Thrips ; présence généralisée à toutes les parcelles du réseau."
"BSV_legumes_12_du_26-06-19__cle047171"	"H1
H3"	"RISQUE"	"Ravageurs communs à plusieurs cultures
MOUCHE"	""	"MOUCHE"	""	""	""	"rcelles du réseau."	"DE L'OIGNON ( D ELI"	"2221-2266"	"type=RISQUE, form=Ravageurs communs à plusieurs cultures
MOUCHE"
"BSV_legumes_12_du_26-06-19__cle047171"	"H2
P"	"RESEAU D'OBSERVATION"	"Composition du réseau d'observation
Des cuvettes jaunes sont en place à Outarville (45), Guilly (45), Terminiers (28) et Oucques (41)."	""	""	""	""	""	"( D ELIA ANTIQUA )"	"Etat général Aucune"	"2298-2432"	"type=RESEAU D'OBSERVATION, form=Composition du réseau d'observation
Des cuvettes jaunes sont en place à Outarville (45), Guilly (45), Terminiers (28) et Oucques (41)."
